text,label,label_source
帮我有什么改进建议,conversation,golden_holdout
帮我想想怎么提高效率,conversation,golden_holdout
怎么跟客户沟通比较好呀,conversation,golden_holdout
帮我分析下这个数据吧,content_analysis,golden_holdout
提点意见,conversation,golden_holdout
请问你觉得怎么做比较好,conversation,golden_holdout
请问给个建议,conversation,golden_holdout
能不能帮我分析下竞争对手,content_analysis,golden_holdout
怎么跟客户沟通比较好,conversation,golden_holdout
我该选哪个方案呀,pre_sales,golden_holdout
帮我帮我权衡一下,conversation,golden_holdout
帮我拿个主意呀,conversation,golden_holdout
有什么改进建议,conversation,golden_holdout
这个方案可行吗,pre_sales,golden_holdout
我该选哪个方案,pre_sales,golden_holdout
要不要换个方向做呀,conversation,golden_holdout
我想帮我权衡一下,conversation,golden_holdout
帮我分析下竞争对手,content_analysis,golden_holdout
请问你看这个情况怎么办,conversation,golden_holdout
帮我这个选题值不值得做,conversation,golden_holdout
请问推荐一下方案,pre_sales,golden_holdout
请问帮我想想怎么回复他,conversation,golden_holdout
给个建议,conversation,golden_holdout
帮我评估一下风险,content_analysis,golden_holdout
请问帮我想个办法,conversation,golden_holdout
帮我分析一下这个情况呀,content_analysis,golden_holdout
请问帮我分析下竞争对手,content_analysis,golden_holdout
这条内容爆不爆得了啊,conversation,golden_holdout
帮我想个办法呀,conversation,golden_holdout
你觉得怎么做比较好呀,conversation,golden_holdout
我该怎么选,conversation,golden_holdout
能不能帮我想想怎么提高效率,conversation,golden_holdout
推荐一下方案吧,pre_sales,golden_holdout
这个热点值不值得追,conversation,golden_holdout
请问有什么建议吗,conversation,golden_holdout
帮我帮我想想怎么提高效率,conversation,golden_holdout
帮我这个方案可行吗,pre_sales,golden_holdout
提点意见吧,conversation,golden_holdout
我想怎么跟客户沟通比较好,conversation,golden_holdout
你觉得怎么做比较好,conversation,golden_holdout
帮我想想怎么回复他,conversation,golden_holdout
我想给个建议,conversation,golden_holdout
你看这个情况怎么办,conversation,golden_holdout
帮我想个办法,conversation,golden_holdout
能不能推荐一下方案,pre_sales,golden_holdout
帮我分析一下这个情况吧,content_analysis,golden_holdout
帮我帮我分析一下这个情况,content_analysis,golden_holdout
你看这个情况怎么办呀,conversation,golden_holdout
我应该怎么处理这件事,conversation,golden_holdout
请问我该选哪个方案,pre_sales,golden_holdout
我想帮我评估一下风险,content_analysis,golden_holdout
能不能这个热点值不值得追,conversation,golden_holdout
能不能你觉得怎么做比较好,conversation,golden_holdout
请问提点意见,conversation,golden_holdout
我想要不要换个方向做,conversation,golden_holdout
请问这个方案可行吗,pre_sales,golden_holdout
这个选题值不值得做,conversation,golden_holdout
这条内容爆不爆得了,conversation,golden_holdout
能不能我该怎么选,conversation,golden_holdout
我想这个选题值不值得做,conversation,golden_holdout
帮我拿个主意,conversation,golden_holdout
帮我想想怎么回复他呀,conversation,golden_holdout
提点意见呀,conversation,golden_holdout
我想帮我分析下竞争对手,content_analysis,golden_holdout
帮我怎么跟客户沟通比较好,conversation,golden_holdout
我想帮我想想怎么回复他,conversation,golden_holdout
这个热点值不值得追呀,conversation,golden_holdout
你觉得我该不该跳槽呀,conversation,golden_holdout
这条内容爆不爆得了呀,conversation,golden_holdout
给点职业建议,conversation,golden_holdout
推荐一下方案,pre_sales,golden_holdout
能不能讲个笑话,conversation,golden_holdout
请问新买的键盘真不错,conversation,golden_holdout
明天会不会下雨,conversation,golden_holdout
你吃饭了吗,conversation,golden_holdout
请问好无聊啊,conversation,golden_holdout
你叫什么名字吧,conversation,golden_holdout
你平时都干嘛,conversation,golden_holdout
你平时都干嘛啊,conversation,golden_holdout
帮我明天会不会下雨,conversation,golden_holdout
你平时都干嘛呀,conversation,golden_holdout
我想食堂今天吃什么,conversation,golden_holdout
请问最近有什么好看的电影,conversation,golden_holdout
能不能你叫什么名字,conversation,golden_holdout
晚饭吃什么好,conversation,golden_holdout
最近在追什么剧呀,conversation,golden_holdout
帮我你觉得 AI 会取代人吗,conversation,golden_holdout
我想你觉得 AI 会取代人吗,conversation,golden_holdout
周末去哪玩,conversation,golden_holdout
你觉得 AI 会取代人吗吧,conversation,golden_holdout
今天股票涨了吗啊,conversation,golden_holdout
今天天气不错,conversation,golden_holdout
能不能你有没有听过那首歌,conversation,golden_holdout
帮我周末要不要一起去打球,conversation,golden_holdout
晚饭吃什么好吧,conversation,golden_holdout
今天股票涨了吗,conversation,golden_holdout
请问今天新闻有啥大事,conversation,golden_holdout
能不能随便聊聊,conversation,golden_holdout
今天好累啊呀,conversation,golden_holdout
帮我周末去哪玩,conversation,golden_holdout
我想最近有什么好看的电影,conversation,golden_holdout
你叫什么名字,conversation,golden_holdout
你吃饭了吗呀,conversation,golden_holdout
请问今天天气不错,conversation,golden_holdout
放假想去哪玩啊,conversation,golden_holdout
最近在追什么剧啊,conversation,golden_holdout
帮我油价又涨了,conversation,golden_holdout
我想今天好累啊,conversation,golden_holdout
我想讲个笑话,conversation,golden_holdout
讲个笑话,conversation,golden_holdout
今天新闻有啥大事啊,conversation,golden_holdout
老板今天心情怎么样,conversation,golden_holdout
最近健身效果不错,conversation,golden_holdout
油价又涨了,conversation,golden_holdout
食堂今天吃什么啊,conversation,golden_holdout
周末去哪玩啊,conversation,golden_holdout
周末要不要一起去打球吧,conversation,golden_holdout
最近健身效果不错呀,conversation,golden_holdout
请问晚饭吃什么好,conversation,golden_holdout
你有没有听过那首歌,conversation,golden_holdout
我想好无聊啊,conversation,golden_holdout
今天好累啊吧,conversation,golden_holdout
明天会不会下雨吧,conversation,golden_holdout
周末要不要一起去打球,conversation,golden_holdout
随便聊聊吧,conversation,golden_holdout
好无聊啊,conversation,golden_holdout
请问最近健身效果不错,conversation,golden_holdout
新来的同事叫什么名字啊,conversation,golden_holdout
放假想去哪玩,conversation,golden_holdout
新来的同事叫什么名字呀,conversation,golden_holdout
随便聊聊,conversation,golden_holdout
今天新闻有啥大事,conversation,golden_holdout
能不能明天会不会下雨,conversation,golden_holdout
最近在追什么剧吧,conversation,golden_holdout
新来的同事叫什么名字,conversation,golden_holdout
食堂今天吃什么呀,conversation,golden_holdout
请问放假想去哪玩,conversation,golden_holdout
新买的键盘真不错吧,conversation,golden_holdout
今天好累啊,conversation,golden_holdout
帮我放假想去哪玩,conversation,golden_holdout
你平时都干嘛吧,conversation,golden_holdout
帮我好无聊啊,conversation,golden_holdout
我想明白了,conversation,golden_holdout
嗯嗯,conversation,golden_holdout
帮我能不能再举个例子,conversation,golden_holdout
明白了,conversation,golden_holdout
能不能再举个例子吧,conversation,golden_holdout
还有吗,conversation,golden_holdout
好的你继续,conversation,golden_holdout
接着说啊,conversation,golden_holdout
能不能再举个例子,conversation,golden_holdout
展开讲讲,conversation,golden_holdout
详细说说,conversation,golden_holdout
详细说说呀,conversation,golden_holdout
请问嗯嗯,conversation,golden_holdout
嗯嗯继续,conversation,golden_holdout
我想有意思,conversation,golden_holdout
原来是这样,conversation,golden_holdout
帮我详细说说,conversation,golden_holdout
然后呢,conversation,golden_holdout
请问详细说说,conversation,golden_holdout
展开讲讲啊,conversation,golden_holdout
然后呢然后呢,conversation,golden_holdout
帮我然后呢然后呢,conversation,golden_holdout
请问然后呢,conversation,golden_holdout
然后呢吧,conversation,golden_holdout
我想还有吗,conversation,golden_holdout
帮我懂了懂了,conversation,golden_holdout
然后呢然后呢吧,conversation,golden_holdout
懂了懂了,conversation,golden_holdout
有意思,conversation,golden_holdout
帮我还有吗,conversation,golden_holdout
帮我然后呢,conversation,golden_holdout
帮我嗯嗯继续,conversation,golden_holdout
有意思吧,conversation,golden_holdout
能不能接着说,conversation,golden_holdout
我想好的你继续,conversation,golden_holdout
展开讲讲吧,conversation,golden_holdout
嗯嗯继续呀,conversation,golden_holdout
帮我嗯嗯,conversation,golden_holdout
懂了懂了吧,conversation,golden_holdout
我想能不能再举个例子,conversation,golden_holdout
好的你继续吧,conversation,golden_holdout
能不能原来是这样,conversation,golden_holdout
我想再讲具体一点,conversation,golden_holdout
再讲具体一点吧,conversation,golden_holdout
请问还有吗,conversation,golden_holdout
能不能懂了懂了,conversation,golden_holdout
再讲具体一点,conversation,golden_holdout
请问然后呢然后呢,conversation,golden_holdout
我想接着说,conversation,golden_holdout
嗯嗯继续啊,conversation,golden_holdout
帮我明白了,conversation,golden_holdout
接着说,conversation,golden_holdout
原来是这样吧,conversation,golden_holdout
原来是这样呀,conversation,golden_holdout
明白了呀,conversation,golden_holdout
生成口播脚本吧,content_creation,golden_holdout
记录一下今天的任务啊,function,golden_holdout
能不能生成口播脚本,content_creation,golden_holdout
创建提醒,function,golden_holdout
能不能设置每周五提醒,function,golden_holdout
帮我帮我做个选题,content_analysis,golden_holdout
帮我写个口播稿,content_creation,golden_holdout
写个考研选题脚本,content_creation,golden_holdout
别忘了周五交周报,content_creation,golden_holdout
记录一下今天的任务吧,function,golden_holdout
帮我帮我写个口播稿,content_creation,golden_holdout
记录一下今天的任务,function,golden_holdout
帮我帮我记一下明天十点开会,function,golden_holdout
翻译这段话啊,function,golden_holdout
能不能写个考研选题脚本,content_creation,golden_holdout
写个短视频文案吧,content_creation,golden_holdout
我想提醒我下午喝水,function,golden_holdout
生成一篇热点文案,content_creation,golden_holdout
帮我设个闹钟七点吧,function,golden_holdout
帮我梳理一下这个热点事件,content_analysis,golden_holdout
帮我帮我设个闹钟七点,function,golden_holdout
能不能别忘了周五交周报,content_creation,golden_holdout
请问生成一篇热点文案,content_creation,golden_holdout
收藏这篇文章啊,function,golden_holdout
帮我查一下明天的日程吧,function,golden_holdout
帮我设个闹钟七点,function,golden_holdout
写个短视频文案,content_creation,golden_holdout
我想别忘了周五交周报,content_creation,golden_holdout
我想帮我设个闹钟七点,function,golden_holdout
帮我帮我查一下明天的日程,function,golden_holdout
把这段文字转成口播稿呀,content_creation,golden_holdout
帮我梳理一下这个热点事件吧,content_analysis,golden_holdout
把这段文字转成口播稿,content_creation,golden_holdout
备忘一下,function,golden_holdout
请问把这段文字转成口播稿,content_creation,golden_holdout
帮我做个选题啊,content_analysis,golden_holdout
翻译这段话,function,golden_holdout
能不能写个短视频文案,content_creation,golden_holdout
生成一篇热点文案呀,content_creation,golden_holdout
请问创建提醒,function,golden_holdout
总结这篇文章吧,content_creation,golden_holdout
把这段文字转成口播稿吧,content_creation,golden_holdout
创建提醒吧,function,golden_holdout
总结这篇文章,content_creation,golden_holdout
能不能添加到待办,function,golden_holdout
保存这条消息,function,golden_holdout
帮我查一下明天的日程,function,golden_holdout
我想帮我记一下明天十点开会,function,golden_holdout
设置每周五提醒,function,golden_holdout
请问生成口播脚本,content_creation,golden_holdout
请问设置每周五提醒,function,golden_holdout
分析一下这个热点,content_analysis,golden_holdout
帮我提醒我下午喝水,function,golden_holdout
备忘一下啊,function,golden_holdout
翻译这段话呀,function,golden_holdout
我想帮我写个口播稿,content_creation,golden_holdout
我想写个考研选题脚本,content_creation,golden_holdout
收藏这篇文章呀,function,golden_holdout
帮我收藏这篇文章,function,golden_holdout
保存这条消息啊,function,golden_holdout
请问帮我梳理一下这个热点事件,content_analysis,golden_holdout
请问提醒我下午喝水,function,golden_holdout
请问保存这条消息,function,golden_holdout
添加到待办,function,golden_holdout
提醒我下午喝水,function,golden_holdout
备忘一下吧,function,golden_holdout
收藏这篇文章,function,golden_holdout
我想写个短视频文案,content_creation,golden_holdout
帮我记一下明天十点开会,function,golden_holdout
能不能创建提醒,function,golden_holdout
帮我分析一下这个热点,content_analysis,golden_holdout
您好吧,greeting,golden_holdout
你好呀吧,greeting,golden_holdout
帮我大家好呀,greeting,golden_holdout
老板好呀,greeting,golden_holdout
在吗,greeting,golden_holdout
我想老板好,greeting,golden_holdout
我想再见,conversation,golden_holdout
请问下午好呀,greeting,golden_holdout
晚上好,greeting,golden_holdout
大家好呀,greeting,golden_holdout
帮我下午好呀,greeting,golden_holdout
哈喽吧,greeting,golden_holdout
嗨,greeting,golden_holdout
请问早上好,greeting,golden_holdout
嗨喽啊,greeting,golden_holdout
我想下午好,greeting,golden_holdout
帮我大家好,greeting,golden_holdout
嗨喽,greeting,golden_holdout
能不能hello,greeting,golden_holdout
拜拜,conversation,golden_holdout
大家好呀吧,greeting,golden_holdout
哈喽你好,greeting,golden_holdout
请问你好,greeting,golden_holdout
请问下午好,greeting,golden_holdout
帮我拜拜,conversation,golden_holdout
老板好啊,greeting,golden_holdout
请问老师好,greeting,golden_holdout
能不能你好呀,greeting,golden_holdout
hi呀,greeting,golden_holdout
帮我你好,greeting,golden_holdout
下午好呀,greeting,golden_holdout
嗨啊,greeting,golden_holdout
我想嗨喽,greeting,golden_holdout
早上好,greeting,golden_holdout
hi吧,greeting,golden_holdout
我想hi 早上好,greeting,golden_holdout
您好,greeting,golden_holdout
我想哈喽你好,greeting,golden_holdout
你好呀,greeting,golden_holdout
请问您好,greeting,golden_holdout
老板好,greeting,golden_holdout
再见,conversation,golden_holdout
我想hello,greeting,golden_holdout
请问hi,greeting,golden_holdout
请问哈喽,greeting,golden_holdout
在吗吧,greeting,golden_holdout
请问回头聊,greeting,golden_holdout
hello,greeting,golden_holdout
哈喽你好吧,greeting,golden_holdout
再见啊,conversation,golden_holdout
大家好啊,greeting,golden_holdout
哈喽呀,greeting,golden_holdout
你好,greeting,golden_holdout
晚上好吧,greeting,golden_holdout
早上好吧,greeting,golden_holdout
我想老师好,greeting,golden_holdout
请问嗨喽,greeting,golden_holdout
请问拜拜,conversation,golden_holdout
大家好,greeting,golden_holdout
我想在吗,greeting,golden_holdout
回头聊,greeting,golden_holdout
能不能老师好,greeting,golden_holdout
帮我嗨,greeting,golden_holdout
