text,label,label_source
帮我有什么改进建议,advice,golden_holdout
帮我想想怎么提高效率,advice,golden_holdout
怎么跟客户沟通比较好呀,advice,golden_holdout
帮我分析下这个数据吧,advice,golden_holdout
提点意见,advice,golden_holdout
请问你觉得怎么做比较好,advice,golden_holdout
请问给个建议,advice,golden_holdout
能不能帮我分析下竞争对手,advice,golden_holdout
怎么跟客户沟通比较好,advice,golden_holdout
我该选哪个方案呀,advice,golden_holdout
帮我帮我权衡一下,advice,golden_holdout
帮我拿个主意呀,advice,golden_holdout
有什么改进建议,advice,golden_holdout
这个方案可行吗,advice,golden_holdout
我该选哪个方案,advice,golden_holdout
要不要换个方向做呀,advice,golden_holdout
我想帮我权衡一下,advice,golden_holdout
帮我分析下竞争对手,advice,golden_holdout
请问你看这个情况怎么办,advice,golden_holdout
帮我这个选题值不值得做,advice,golden_holdout
请问推荐一下方案,advice,golden_holdout
请问帮我想想怎么回复他,advice,golden_holdout
给个建议,advice,golden_holdout
帮我评估一下风险,advice,golden_holdout
请问帮我想个办法,advice,golden_holdout
帮我分析一下这个情况呀,advice,golden_holdout
请问帮我分析下竞争对手,advice,golden_holdout
这条内容爆不爆得了啊,advice,golden_holdout
帮我想个办法呀,advice,golden_holdout
你觉得怎么做比较好呀,advice,golden_holdout
我该怎么选,advice,golden_holdout
能不能帮我想想怎么提高效率,advice,golden_holdout
推荐一下方案吧,advice,golden_holdout
这个热点值不值得追,advice,golden_holdout
请问有什么建议吗,advice,golden_holdout
帮我帮我想想怎么提高效率,advice,golden_holdout
帮我这个方案可行吗,advice,golden_holdout
提点意见吧,advice,golden_holdout
我想怎么跟客户沟通比较好,advice,golden_holdout
你觉得怎么做比较好,advice,golden_holdout
帮我想想怎么回复他,advice,golden_holdout
我想给个建议,advice,golden_holdout
你看这个情况怎么办,advice,golden_holdout
帮我想个办法,advice,golden_holdout
能不能推荐一下方案,advice,golden_holdout
帮我分析一下这个情况吧,advice,golden_holdout
帮我帮我分析一下这个情况,advice,golden_holdout
你看这个情况怎么办呀,advice,golden_holdout
我应该怎么处理这件事,advice,golden_holdout
请问我该选哪个方案,advice,golden_holdout
我想帮我评估一下风险,advice,golden_holdout
能不能这个热点值不值得追,advice,golden_holdout
能不能你觉得怎么做比较好,advice,golden_holdout
请问提点意见,advice,golden_holdout
我想要不要换个方向做,advice,golden_holdout
请问这个方案可行吗,advice,golden_holdout
这个选题值不值得做,advice,golden_holdout
这条内容爆不爆得了,advice,golden_holdout
能不能我该怎么选,advice,golden_holdout
我想这个选题值不值得做,advice,golden_holdout
帮我拿个主意,advice,golden_holdout
帮我想想怎么回复他呀,advice,golden_holdout
提点意见呀,advice,golden_holdout
我想帮我分析下竞争对手,advice,golden_holdout
帮我怎么跟客户沟通比较好,advice,golden_holdout
我想帮我想想怎么回复他,advice,golden_holdout
这个热点值不值得追呀,advice,golden_holdout
你觉得我该不该跳槽呀,advice,golden_holdout
这条内容爆不爆得了呀,advice,golden_holdout
给点职业建议,advice,golden_holdout
推荐一下方案,advice,golden_holdout
能不能讲个笑话,chat,golden_holdout
请问新买的键盘真不错,chat,golden_holdout
明天会不会下雨,chat,golden_holdout
你吃饭了吗,chat,golden_holdout
请问好无聊啊,chat,golden_holdout
你叫什么名字吧,chat,golden_holdout
你平时都干嘛,chat,golden_holdout
你平时都干嘛啊,chat,golden_holdout
帮我明天会不会下雨,chat,golden_holdout
你平时都干嘛呀,chat,golden_holdout
我想食堂今天吃什么,chat,golden_holdout
请问最近有什么好看的电影,chat,golden_holdout
能不能你叫什么名字,chat,golden_holdout
晚饭吃什么好,chat,golden_holdout
最近在追什么剧呀,chat,golden_holdout
帮我你觉得 AI 会取代人吗,chat,golden_holdout
我想你觉得 AI 会取代人吗,chat,golden_holdout
周末去哪玩,chat,golden_holdout
你觉得 AI 会取代人吗吧,chat,golden_holdout
今天股票涨了吗啊,chat,golden_holdout
今天天气不错,chat,golden_holdout
能不能你有没有听过那首歌,chat,golden_holdout
帮我周末要不要一起去打球,chat,golden_holdout
晚饭吃什么好吧,chat,golden_holdout
今天股票涨了吗,chat,golden_holdout
请问今天新闻有啥大事,chat,golden_holdout
能不能随便聊聊,chat,golden_holdout
今天好累啊呀,chat,golden_holdout
帮我周末去哪玩,chat,golden_holdout
我想最近有什么好看的电影,chat,golden_holdout
你叫什么名字,chat,golden_holdout
你吃饭了吗呀,chat,golden_holdout
请问今天天气不错,chat,golden_holdout
放假想去哪玩啊,chat,golden_holdout
最近在追什么剧啊,chat,golden_holdout
帮我油价又涨了,chat,golden_holdout
我想今天好累啊,chat,golden_holdout
