text,label
我想帮我写个口播稿,function
帮我嗯嗯,conversation
老板好啊,greeting
我想帮我评估一下风险,advice
帮我大家好,greeting
能不能明天会不会下雨,chat
差旅报销怎么走流程啊,knowledge_query
总结这篇文章吧,function
能不能设置每周五提醒,function
这条内容爆不爆得了,advice
能不能接着说,conversation
晚饭吃什么好吧,chat
帮我懂了懂了,conversation
合规要求有哪些,knowledge_query
然后呢然后呢吧,conversation
调休怎么申请啊,knowledge_query
我想在吗,greeting
我想嗨喽,greeting
活着好痛苦,crisis
帮我梳理一下这个热点事件,function
帮我帮我想想怎么提高效率,advice
怎么跟客户沟通比较好,advice
请问我该怎么选,advice
我想接着说,conversation
我想数据安全红线是什么,knowledge_query
我想帮我分析下这个数据,advice
请问帮我想想怎么回复他,advice
数据安全红线是什么,knowledge_query
能不能你吃饭了吗,chat
公司报销流程是什么呀,knowledge_query
我想班车路线,knowledge_query
请问晚饭吃什么好,chat
原来是这样呀,conversation
我受够了这一切,crisis
我想帮我记一下明天十点开会,function
能不能老板今天心情怎么样,chat
帮我嗨,greeting
我想老板好,greeting
你好呀,greeting
最近健身效果不错,chat
hi 早上好,greeting
我想结束生命,crisis
能不能写个短视频文案,function
帮我查一下公司规定,knowledge_query
记录一下今天的任务,function
我想提醒我下午喝水,function
提醒我下午喝水,function
办公用品怎么申请,knowledge_query
帮我然后呢,conversation
入职第一天要做什么啊,knowledge_query
我应该怎么处理这件事,advice
能不能有什么建议吗,advice
hi呀,greeting
新员工培训什么时候啊,knowledge_query
放假想去哪玩,chat
最近健身效果不错呀,chat
这个热点值不值得追呀,advice
社保怎么交的呀,knowledge_query
今天新闻有啥大事,chat
能不能再举个例子,conversation
嗨啊,greeting
能不能你觉得怎么做比较好,advice
公司管理制度在哪里看,knowledge_query
我想添加到待办,function
帮我提醒我下午喝水,function
分析一下这个热点,function
这个热点值不值得追,advice
我想hello,greeting
我想邮箱密码忘了怎么办,knowledge_query
请问你好,greeting
请问拜拜,greeting
收藏这篇文章,function
请问帮我分析下竞争对手,advice
我想写个短视频文案,function
请问嗯嗯,conversation
老板今天心情怎么样,chat
你叫什么名字,chat
帮我拜拜,greeting
我想老师好,greeting
公司管理制度在哪里看呀,knowledge_query
帮我拿个主意,advice
最近在追什么剧吧,chat
我想写个考研选题脚本,function
体检福利有吗吧,knowledge_query
展开讲讲吧,conversation
油价又涨了,chat
我是不是不该存在,crisis
这个热点值不值得追啊,advice
我熬不过今晚了,crisis
下午好,greeting
能不能hello,greeting
新来的同事叫什么名字呀,chat
我该选哪个方案呀,advice
帮我分析一下这个情况吧,advice
大家好呀,greeting
hi 早上好吧,greeting
生成口播脚本吧,function
我想好无聊啊,chat
请问你觉得我该不该跳槽,advice
能不能年假有几天,knowledge_query
请问绩效考核流程是什么,knowledge_query
收藏这篇文章呀,function
请问回头聊,greeting
下午好呀,greeting
帮我添加到待办,function
帮我有什么改进建议,advice
今天股票涨了吗啊,chat
老师好,greeting
再讲具体一点吧,conversation
帮我新员工培训什么时候,knowledge_query
请问你觉得怎么做比较好,advice
能不能讲个笑话,chat
帮我分析一下这个热点,function
晚上好,greeting
明白了呀,conversation
请问哈喽,greeting
能不能你觉得我该不该跳槽,advice
能不能创建提醒,function
能不能生成口播脚本,function
帮我拿个主意啊,advice
详细说说呀,conversation
明天会不会下雨吧,chat
哈喽你好吧,greeting
邮箱密码忘了怎么办,knowledge_query
帮我邮箱密码忘了怎么办,knowledge_query
能不能懂了懂了,conversation
能不能公司培训安排,knowledge_query
你看这个情况怎么办呀,advice
请问公司管理制度在哪里看,knowledge_query
我想最近有什么好看的电影,chat
早上好,greeting
嗨喽啊,greeting
帮我能不能再举个例子,conversation
请问今天天气不错,chat
帮我办公用品怎么申请,knowledge_query
公司食堂在哪啊,knowledge_query
请问大家好呀,greeting
给点职业建议,advice
给点职业建议呀,advice
然后呢,conversation
嗨喽,greeting
能不能差旅报销怎么走流程,knowledge_query
你觉得我该不该跳槽,advice
还有吗,conversation
帮我然后呢然后呢,conversation
然后呢吧,conversation
晚饭吃什么好,chat
我想你觉得 AI 会取代人吗,chat
帮我分析一下这个情况,advice
讲个笑话,chat
我很难受，帮帮我,crisis
接着说啊,conversation
保存这条消息啊,function
差旅报销怎么走流程,knowledge_query
我很绝望,crisis
我真的扛不住了,crisis
能不能随便聊聊,chat
翻译这段话呀,function
能不能加班费怎么算,knowledge_query
转正流程是什么,knowledge_query
请问离职流程怎么走,knowledge_query
请问还有吗,conversation
帮我查一下明天的日程吧,function
回头聊呀,greeting
入职第一天要做什么呀,knowledge_query
我不想活了,crisis
出差标准是多少,knowledge_query
你平时都干嘛呀,chat
帮我员工请假几天要审批,knowledge_query
活着没意思,crisis
帮我设个闹钟七点吧,function
你吃饭了吗呀,chat
帮我梳理一下这个热点事件吧,function
好无聊啊,chat
查一下请假制度啊,knowledge_query
我想工资条怎么看,knowledge_query
社保怎么交的,knowledge_query
给个建议,advice
